Fast Channel Name,Mois,Ratings
5 Cops,January,8.1
5 Cops,February,8.2
5 Cops,March,7.2
5 Cops,April,9.7
5 Cops,May,9.65
5 Cops,June,7.1
5 Cops,July,5.6
5 Cops,August,5.7
Baywatch,January,8.1
Baywatch,February,7.8
Baywatch,March,7.2
Baywatch,April,9.7
Baywatch,May,10.15
Baywatch,June,8.2
Baywatch,July,5.6
Baywatch,August,5.7
Crime,January,10
Crime,February,6.4
Crime,March,9.1
Crime,April,8.1
Crime,May,9.5
Crime,June,8.1
Crime,July,6.7
Crime,August,6.5
CSI:Miami,January,7.8
CSI:Miami,February,6
CSI:Miami,March,7.2
CSI:Miami,April,9.7
CSI:Miami,May,9.3
CSI:Miami,June,7.3
CSI:Miami,July,5.6
CSI:Miami,August,5.7
CSI:NY,January,7.8
CSI:NY,February,7.6
CSI:NY,March,7.2
CSI:NY,April,11
CSI:NY,May,9.65
CSI:NY,June,7.1
CSI:NY,July,5.6
CSI:NY,August,5.7
Ghost Hunters,January,8.1
Ghost Hunters,February,7.6
Ghost Hunters,March,7.2
Ghost Hunters,April,8.3
Ghost Hunters,May,9.65
Ghost Hunters,June,7.3
Ghost Hunters,July,6.5
Ghost Hunters,August,5.7
Hell's Kitchen,January,8.1
Hell's Kitchen,February,9.4
Hell's Kitchen,March,7.2
Hell's Kitchen,April,9.7
Hell's Kitchen,May,9.65
Hell's Kitchen,June,7.8
Hell's Kitchen,July,5.6
Hell's Kitchen,August,5.7
Investigation,January,8.1
Investigation,February,6.3
Investigation,March,5.9
Investigation,April,8.3
Investigation,May,8.8
Investigation,June,7.1
Investigation,July,5.6
Investigation,August,5.7
Paranormal State,January,8.1
Paranormal State,February,7.6
Paranormal State,March,7.2
Paranormal State,April,8.3
Paranormal State,May,9.65
Paranormal State,June,7.3
Paranormal State,July,6.5
Paranormal State,August,5.7
The FBI Files,January,7.8
The FBI Files,February,8.2
The FBI Files,March,7.2
The FBI Files,April,8.3
The FBI Files,May,9.65
The FBI Files,June,7.1
The FBI Files,July,6.5
The FBI Files,August,9.5
The New Detectives,January,8.1
The New Detectives,February,8.2
The New Detectives,March,5.7
The New Detectives,April,9.7
The New Detectives,May,9.25
The New Detectives,June,7.3
The New Detectives,July,5.4
The New Detectives,August,3.8
Unsolved Mysteries,January,8.5
Unsolved Mysteries,February,6.5
Unsolved Mysteries,March,7.2
Unsolved Mysteries,April,9.7
Unsolved Mysteries,May,8.8
Unsolved Mysteries,June,7.3
Unsolved Mysteries,July,5.4
Unsolved Mysteries,August,6.4
